GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Carport,presentationLayer,CreateOrderFlatRoof,129,0,4,0,26,0,4,0,2,0
Carport,presentationLayer,CreateOrderPointedRoof,129,0,4,0,26,0,4,0,2,0
Carport,presentationLayer,FrontController,42,0,0,0,11,0,5,0,5,0
Carport,presentationLayer,OrderRequestFlatRoof,177,0,6,0,32,0,5,0,2,0
Carport,presentationLayer,CustomerOrderInfo,56,0,0,0,10,0,2,0,2,0
Carport,presentationLayer,Registration,149,0,10,0,30,0,7,0,2,0
Carport,presentationLayer,ManageProducts,67,0,2,0,14,0,3,0,2,0
Carport,presentationLayer,SeeOrderProductList,162,0,16,0,21,0,10,0,2,0
Carport,presentationLayer,UpdateOrderStatus,82,0,4,0,17,0,4,0,2,0
Carport,presentationLayer,Navigator,93,0,18,0,14,0,14,0,2,0
Carport,presentationLayer,OrderRequestPointedRoof,189,0,6,0,34,0,5,0,2,0
Carport,presentationLayer,FlatRoof,50,0,0,0,9,0,2,0,2,0
Carport,presentationLayer,PointedRoof,50,0,0,0,9,0,2,0,2,0
Carport,presentationLayer,UnknownCommand,7,0,0,0,3,0,2,0,2,0
Carport,presentationLayer,UpdateProduct,79,0,2,0,17,0,3,0,2,0
Carport,presentationLayer,SelectOrders,68,0,4,0,13,0,4,0,2,0
Carport,presentationLayer,Login,93,0,0,0,19,0,2,0,2,0
Carport,presentationLayer,Command,135,0,2,0,23,0,4,0,3,0
Carport,presentationLayer,AddProduct,90,0,0,0,17,0,2,0,2,0
Carport,dbAccess,ProductMapper,114,355,1,7,19,101,1,11,0,8
Carport,dbAccess,Connector,17,7,1,1,6,4,2,2,1,2
Carport,dbAccess,CustomerMapper,341,0,4,0,84,0,7,0,5,0
Carport,dbAccess,CarportMapper,114,468,1,7,19,127,1,11,0,8
Carport,dbAccess,UserMapper,76,64,1,1,18,18,2,2,1,2
Carport,functionLayer.calculation,CalcShedSkeletton,143,138,16,18,24,24,11,10,1,3
Carport,functionLayer.calculation,CarportFlatProductListe,500,64,17,1,69,14,10,2,1,2
Carport,functionLayer.calculation,CalcRoof,434,124,48,18,50,22,32,5,2,2
Carport,functionLayer.calculation,CalcBeam,113,79,15,13,19,16,10,7,1,2
Carport,functionLayer.calculation,CalcPoles,91,111,12,22,9,17,11,8,0,2
Carport,functionLayer.calculation,CalcLøsholt,103,0,14,0,17,0,9,0,2,0
Carport,functionLayer.calculation,CarportPointedRoofProductListe,504,0,18,0,74,0,12,0,3,0
Carport,functionLayer.calculation,CalcScrew,231,3,24,0,42,1,15,1,3,1
Carport,functionLayer.calculation,CalcOuterLayerOfShed,92,225,4,20,11,36,4,11,0,3
Carport,functionLayer.calculation,CalcStern,75,222,6,24,12,40,6,13,0,4
Carport,functionLayer.calculation,CalcAngleBracket,77,3,8,0,14,1,5,1,1,1
Carport,functionLayer.calculation,CalcNails,179,55,17,7,32,11,11,5,2,2
Carport,functionLayer.calculation,CalcBattens,217,3,22,0,39,1,13,1,2,1
Carport,functionLayer.calculation,CalcFrontAndBackBeklædning,98,0,14,0,16,0,9,0,2,0
Carport,functionLayer.calculation,CalcPointedRoofTriangle,109,0,12,0,19,0,9,0,3,0
Carport,logging,DefaultLogger.VerySimpleFormatter,33,0,0,0,6,0,2,0,2,0
Carport,logging,DefaultLogger.withStackTraceFormatter,92,0,2,0,10,0,3,0,2,0
Carport,logging,LoggerConfig,3,0,0,0,1,0,1,0,1,0
Carport,logging,DefaultLogger,44,0,4,0,13,0,5,0,3,0
Carport,functionLayer,SVGTop,1014,0,18,0,121,0,19,0,10,0
Carport,functionLayer,Employee,21,0,0,0,8,0,1,0,1,0
Carport,functionLayer,Customer,92,0,0,0,33,0,12,0,12,0
Carport,functionLayer,Product,73,118,0,0,4,42,3,13,3,13
Carport,functionLayer,SVGSide,298,0,6,0,42,0,9,0,6,0
Carport,functionLayer,Shed,20,34,0,0,2,14,2,6,2,6
Carport,functionLayer,Carport,13,160,0,0,5,34,4,12,4,12
Carport,functionLayer,User,31,21,0,0,12,8,6,2,6,2
Carport,functionLayer,Rules,3,0,0,0,1,0,1,0,1,0
Carport,functionLayer,LogicFacade,214,107,4,0,54,33,16,12,14,12
Carport,exceptions,FogException,4,0,0,0,2,0,1,0,1,0
